Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/657.xz_s-2302B.champsimtrace.xz,Compute-Bound,1.2126,0.4302,0.3105,0.3683
traces/644.nab_s-7928B.champsimtrace.xz,Compute-Bound,1.2392,0.3837,0.4797,0.185
traces/644.nab_s-12521B.champsimtrace.xz,Compute-Bound,1.2656,0.3867,0.764,0.2573
traces/628.pop2_s-17B.champsimtrace.xz,Compute-Bound,1.3363,0.4359,1.6728,2.5213
traces/648.exchange2_s-1699B.champsimtrace.xz,Compute-Bound,1.3448,0.3483,0.0001,0.0
traces/648.exchange2_s-210B.champsimtrace.xz,Compute-Bound,1.352,0.3515,0.0007,0.0001
traces/648.exchange2_s-584B.champsimtrace.xz,Compute-Bound,1.3564,0.3716,0.0001,0.0
traces/657.xz_s-3167B.champsimtrace.xz,Compute-Bound,1.3606,0.4312,0.3688,0.3404
traces/623.xalancbmk_s-202B.champsimtrace.xz,Compute-Bound,1.365,0.392,0.0385,1.0205
traces/657.xz_s-4994B.champsimtrace.xz,Compute-Bound,1.3827,0.6748,0.3878,0.5556
traces/623.xalancbmk_s-165B.champsimtrace.xz,Compute-Bound,1.387,0.4039,0.0375,0.5229
traces/648.exchange2_s-1712B.champsimtrace.xz,Compute-Bound,1.3977,0.3607,0.0009,0.0001
traces/648.exchange2_s-72B.champsimtrace.xz,Compute-Bound,1.3986,0.3665,0.0001,0.0
traces/648.exchange2_s-353B.champsimtrace.xz,Compute-Bound,1.413,0.369,0.0001,0.0
traces/649.fotonik3d_s-1B.champsimtrace.xz,Compute-Bound,1.4276,0.4086,0.0514,0.0198
traces/638.imagick_s-4128B.champsimtrace.xz,Compute-Bound,1.4316,0.3818,0.024,0.0331
traces/648.exchange2_s-1247B.champsimtrace.xz,Compute-Bound,1.4466,0.3827,0.0004,0.0001
traces/648.exchange2_s-1227B.champsimtrace.xz,Compute-Bound,1.477,0.3914,0.0004,0.0001
traces/644.nab_s-12459B.champsimtrace.xz,Compute-Bound,1.4841,0.4079,0.1454,0.2492
traces/602.gcc_s-734B.champsimtrace.xz,Compute-Bound,1.493,0.4173,0.1673,0.3325
traces/638.imagick_s-824B.champsimtrace.xz,Compute-Bound,1.5698,0.6228,0.2117,0.0143
traces/627.cam4_s-573B.champsimtrace.xz,Compute-Bound,1.5918,0.4837,0.0515,1.6529
traces/625.x264_s-39B.champsimtrace.xz,Compute-Bound,1.6011,0.4485,0.3501,0.4252
traces/625.x264_s-33B.champsimtrace.xz,Compute-Bound,1.6172,0.4503,0.4203,0.4618
traces/625.x264_s-18B.champsimtrace.xz,Compute-Bound,1.62,0.4496,0.4429,0.5308
traces/625.x264_s-12B.champsimtrace.xz,Compute-Bound,1.6258,0.4498,0.3527,0.3672
traces/625.x264_s-20B.champsimtrace.xz,Compute-Bound,1.6396,0.45,0.2762,0.332
traces/603.bwaves_s-1080B.champsimtrace.xz,Compute-Bound,1.7809,0.445,0.3209,0.804
traces/603.bwaves_s-3699B.champsimtrace.xz,Compute-Bound,1.9943,0.4542,0.1595,0.4328
traces/654.roms_s-1021B.champsimtrace.xz,Compute-Bound,1.9943,0.5228,0.0141,0.0029
traces/603.bwaves_s-5359B.champsimtrace.xz,Compute-Bound,2.0373,0.4525,0.1285,0.3563
traces/607.cactuBSSN_s-4248B.champsimtrace.xz,Compute-Bound,2.0531,0.6605,0.7195,0.0592
traces/657.xz_s-56B.champsimtrace.xz,Compute-Bound,2.1449,1.2046,0.4258,0.6243
traces/638.imagick_s-10316B.champsimtrace.xz,Compute-Bound,2.7101,0.6515,0.0397,0.7653
