Trace,Classificacao,IPC_Agregado,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-incompatible,Compute-Bound,1.5579,0.2759,0.0,27.6758
mix,Compute-Bound,1.0057,0.2938,0.0,24.6401
random,Compute-Bound,5.8046,0.3525,0.0,11.3835
