Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/644.nab_s-7928B.champsimtrace.xz,Compute-Bound,1.2367,0.3837,0.4797,0.1883
traces/627.cam4_s-490B.champsimtrace.xz,Compute-Bound,1.2379,0.4009,1.6087,2.4578
traces/644.nab_s-12521B.champsimtrace.xz,Compute-Bound,1.253,0.3867,0.7638,0.2705
traces/648.exchange2_s-1699B.champsimtrace.xz,Compute-Bound,1.3448,0.3483,0.0001,0.0001
traces/648.exchange2_s-210B.champsimtrace.xz,Compute-Bound,1.352,0.3515,0.0007,0.0001
traces/648.exchange2_s-584B.champsimtrace.xz,Compute-Bound,1.3564,0.3716,0.0001,0.0
traces/657.xz_s-3167B.champsimtrace.xz,Compute-Bound,1.3596,0.4311,0.3689,0.3563
traces/623.xalancbmk_s-202B.champsimtrace.xz,Compute-Bound,1.3646,0.392,0.0385,1.0213
traces/657.xz_s-4994B.champsimtrace.xz,Compute-Bound,1.3822,0.6748,0.3878,0.5374
traces/623.xalancbmk_s-165B.champsimtrace.xz,Compute-Bound,1.3868,0.4039,0.0375,0.5233
traces/648.exchange2_s-1712B.champsimtrace.xz,Compute-Bound,1.3977,0.3607,0.0009,0.0002
traces/648.exchange2_s-72B.champsimtrace.xz,Compute-Bound,1.3986,0.3665,0.0001,0.0
traces/648.exchange2_s-353B.champsimtrace.xz,Compute-Bound,1.413,0.369,0.0001,0.0
traces/649.fotonik3d_s-1B.champsimtrace.xz,Compute-Bound,1.4276,0.4086,0.0514,0.0226
traces/638.imagick_s-4128B.champsimtrace.xz,Compute-Bound,1.4315,0.3818,0.024,0.0335
traces/628.pop2_s-17B.champsimtrace.xz,Compute-Bound,1.4328,0.4357,1.6728,1.7646
traces/648.exchange2_s-1247B.champsimtrace.xz,Compute-Bound,1.4466,0.3827,0.0004,0.0001
traces/648.exchange2_s-1227B.champsimtrace.xz,Compute-Bound,1.477,0.3914,0.0004,0.0001
traces/648.exchange2_s-1511B.champsimtrace.xz,Compute-Bound,1.48,0.3837,0.0,0.0
traces/644.nab_s-12459B.champsimtrace.xz,Compute-Bound,1.4835,0.408,0.1454,0.2583
traces/602.gcc_s-734B.champsimtrace.xz,Compute-Bound,1.4914,0.4173,0.1674,0.3355
traces/648.exchange2_s-387B.champsimtrace.xz,Compute-Bound,1.5069,0.4034,0.0001,0.0
traces/638.imagick_s-824B.champsimtrace.xz,Compute-Bound,1.568,0.6228,0.2117,0.0178
traces/627.cam4_s-573B.champsimtrace.xz,Compute-Bound,1.5922,0.4837,0.0511,1.6369
traces/625.x264_s-39B.champsimtrace.xz,Compute-Bound,1.599,0.4483,0.3501,0.4604
traces/625.x264_s-33B.champsimtrace.xz,Compute-Bound,1.615,0.4501,0.4203,0.5159
traces/625.x264_s-18B.champsimtrace.xz,Compute-Bound,1.6185,0.4494,0.4428,0.5835
traces/625.x264_s-12B.champsimtrace.xz,Compute-Bound,1.6229,0.4496,0.3527,0.4073
traces/625.x264_s-20B.champsimtrace.xz,Compute-Bound,1.6369,0.4499,0.2761,0.3735
traces/603.bwaves_s-1080B.champsimtrace.xz,Compute-Bound,1.7783,0.445,0.3209,0.8819
traces/607.cactuBSSN_s-4248B.champsimtrace.xz,Compute-Bound,1.9869,0.6605,0.7195,0.0895
traces/603.bwaves_s-3699B.champsimtrace.xz,Compute-Bound,1.9929,0.4542,0.1595,0.4819
traces/654.roms_s-1021B.champsimtrace.xz,Compute-Bound,1.9941,0.5228,0.0141,0.003
traces/603.bwaves_s-5359B.champsimtrace.xz,Compute-Bound,2.0361,0.4525,0.1285,0.4024
traces/657.xz_s-56B.champsimtrace.xz,Compute-Bound,2.1449,1.2157,0.4258,0.503
traces/638.imagick_s-10316B.champsimtrace.xz,Compute-Bound,2.71,0.6515,0.0397,0.7656
