Trace,Classificacao,IPC_Agregado,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-compatible,Compute-Bound,1.93,0.2901,0.0,18.8894
llc-incompatible,Compute-Bound,4.3192,0.2803,0.0,18.0927
mix,Compute-Bound,2.7275,0.2992,0.0,18.6934
random,Compute-Bound,6.8938,0.3442,0.0,6.7918
