Trace,Classificacao,IPC_Agregado,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-incompatible,Memory-Bound,0.7022,0.2743,18.7796,29.591
mix,Memory-Bound,1.5134,0.2989,6.6127,24.524
random,Memory-Bound,5.3997,0.3536,2.13,16.5354
