Trace,Classificacao,IPC_Agregado,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-compatible,Memory-Bound,2.0654,0.2964,11.4234,23.5231
llc-incompatible,Memory-Bound,1.56,0.2734,18.9473,27.6212
mix,Memory-Bound,2.1535,0.295,10.0171,22.1337
random,Memory-Bound,6.4624,0.3446,2.6727,9.5111
