Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-compatible,Compute-Bound,1.6366,0.2903,0.0,19.6609
llc-incompatible,Compute-Bound,3.6653,0.2789,0.0,20.6679
mix,Compute-Bound,2.31,0.2979,0.0,19.9577
random,Compute-Bound,6.7221,0.3459,0.0,7.4398
