Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-compatible,Compute-Bound,2.0288,0.2892,0.0,17.3561
llc-incompatible,Compute-Bound,5.4224,0.2828,0.0,15.0854
mix,Compute-Bound,3.4638,0.2989,0.0,16.7361
random,Compute-Bound,6.8417,0.3445,0.0,6.582
