Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D_Total
llc-compatible,Memory-Bound,3.3277,0.2882,13.5217,15.6327
llc-incompatible,Memory-Bound,4.7995,0.2796,17.8274,17.1009
mix,Memory-Bound,3.9124,0.295,15.262,16.5573
random,Memory-Bound,7.2585,0.3387,3.2334,5.8013
