Trace,Classificacao,IPC,IA_Inst_per_Byte,LLC_MPKI,MLP_L1D
traces/644.nab_s-9322B.champsimtrace.xz,Compute-Bound,1.1602,0.3837,0.0,0.1674
traces/657.xz_s-3167B.champsimtrace.xz,Compute-Bound,1.1788,0.4311,0.0,0.5702
traces/623.xalancbmk_s-165B.champsimtrace.xz,Compute-Bound,1.1794,0.4035,0.0,0.8401
traces/644.nab_s-7928B.champsimtrace.xz,Compute-Bound,1.2359,0.3837,0.0,0.1903
traces/644.nab_s-12521B.champsimtrace.xz,Compute-Bound,1.2413,0.3866,0.0,0.2956
traces/602.gcc_s-734B.champsimtrace.xz,Compute-Bound,1.254,0.4162,0.0,0.7027
traces/648.exchange2_s-1699B.champsimtrace.xz,Compute-Bound,1.3448,0.3483,0.0,0.0001
traces/648.exchange2_s-210B.champsimtrace.xz,Compute-Bound,1.352,0.3515,0.0,0.0001
traces/657.xz_s-4994B.champsimtrace.xz,Compute-Bound,1.3553,0.6745,0.0,0.6908
traces/648.exchange2_s-584B.champsimtrace.xz,Compute-Bound,1.3564,0.3716,0.0,0.0
traces/648.exchange2_s-1712B.champsimtrace.xz,Compute-Bound,1.3977,0.3607,0.0,0.0001
traces/648.exchange2_s-72B.champsimtrace.xz,Compute-Bound,1.3987,0.3665,0.0,0.0
traces/648.exchange2_s-353B.champsimtrace.xz,Compute-Bound,1.413,0.369,0.0,0.0
traces/628.pop2_s-17B.champsimtrace.xz,Compute-Bound,1.4198,0.4353,0.0,1.5166
traces/649.fotonik3d_s-1B.champsimtrace.xz,Compute-Bound,1.4276,0.4086,0.0,0.0178
traces/638.imagick_s-4128B.champsimtrace.xz,Compute-Bound,1.4311,0.3818,0.0,0.0337
traces/648.exchange2_s-1247B.champsimtrace.xz,Compute-Bound,1.4466,0.3827,0.0,0.0001
traces/648.exchange2_s-1227B.champsimtrace.xz,Compute-Bound,1.477,0.3914,0.0,0.0
traces/648.exchange2_s-1511B.champsimtrace.xz,Compute-Bound,1.48,0.3837,0.0,0.0
traces/644.nab_s-12459B.champsimtrace.xz,Compute-Bound,1.4816,0.4087,0.0,0.235
traces/627.cam4_s-573B.champsimtrace.xz,Compute-Bound,1.5024,0.4836,0.0,3.3743
traces/648.exchange2_s-387B.champsimtrace.xz,Compute-Bound,1.5069,0.4034,0.0,0.0
traces/625.x264_s-39B.champsimtrace.xz,Compute-Bound,1.5684,0.4485,0.0,0.5373
traces/638.imagick_s-824B.champsimtrace.xz,Compute-Bound,1.5686,0.6228,0.0,0.0166
traces/625.x264_s-33B.champsimtrace.xz,Compute-Bound,1.5866,0.4504,0.0,0.5387
traces/625.x264_s-18B.champsimtrace.xz,Compute-Bound,1.5901,0.4498,0.0,0.6141
traces/625.x264_s-12B.champsimtrace.xz,Compute-Bound,1.5994,0.4498,0.0,0.4505
traces/625.x264_s-20B.champsimtrace.xz,Compute-Bound,1.613,0.45,0.0,0.4603
traces/603.bwaves_s-1080B.champsimtrace.xz,Compute-Bound,1.7789,0.4451,0.0,0.7048
traces/607.cactuBSSN_s-4248B.champsimtrace.xz,Compute-Bound,1.9691,0.6605,0.0,0.0977
traces/603.bwaves_s-3699B.champsimtrace.xz,Compute-Bound,1.993,0.4542,0.0,0.3994
traces/654.roms_s-1021B.champsimtrace.xz,Compute-Bound,1.9939,0.5228,0.0,0.0053
traces/603.bwaves_s-5359B.champsimtrace.xz,Compute-Bound,2.0362,0.4525,0.0,0.3271
traces/657.xz_s-56B.champsimtrace.xz,Compute-Bound,2.1449,1.2211,0.0,0.3877
traces/638.imagick_s-10316B.champsimtrace.xz,Compute-Bound,2.7101,0.6515,0.0,0.7652
